trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.95}",25,0,-188.56837734548543,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
2,False,"{'a': 0.1, 'e': 0.8999999999999999}",20,0,-96.1373654633302,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.8499999999999999}",25,0,-119.76325802266823,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.7999999999999998}",20,0,-68.69729830487098,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.1, 'e': 0.7499999999999998}",30,13,-40.59447788180769,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
6,False,"{'a': 0.1, 'e': 0.6999999999999997}",30,5,-91.23042511624581,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",1
7,False,"{'a': 0.1, 'e': 0.6499999999999997}",30,0,-54.22762450214027,"{0: 24, 1: 0, 2: 3, 3: 3, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.5999999999999996}",20,9,-34.60236673563439,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
9,False,"{'a': 0.1, 'e': 0.5499999999999996}",20,0,-179.9229464851625,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
10,False,"{'a': 0.1, 'e': 0.4999999999999996}",30,15,6.600522402593333,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.1, 'e': 0.4499999999999996}",25,0,-34.8603194054798,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.39999999999999963}",20,0,-15.445917116669124,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.1, 'e': 0.34999999999999964}",20,14,-5.170210387035716,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.1, 'e': 0.29999999999999966}",20,0,11.462415011597505,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.1, 'e': 0.24999999999999967}",25,3,10.408187883195382,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.19999999999999968}",35,0,-4.1453299040691105,"{0: 32, 1: 2, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.1499999999999997}",20,0,22.77201003249717,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.09999999999999969}",25,0,24.12745217710295,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.1, 'e': 0.049999999999999684}",25,6,30.711976672367527,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.1, 'e': -3.191891195797325e-16}",20,12,16.02206048258982,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,16.877701924744862,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,6,25.04359353389289,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,14,32.9256120234008,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,3,31.25234723789252,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,7,25.33246702242568,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,4,44.008922107038465,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,10,15.799307436309741,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,8,21.147340931165154,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,10,7.8972371510140995,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,29.526410173642034,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
