trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9999500004166653}",20,0,-99.65104448905608,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.9998000066665778}",35,0,-217.38985646149152,"{0: 22, 1: 2, 2: 7, 3: 0, 4: 4}",0
3,False,"{'a': 0.1, 'e': 0.9995500337489875}",30,0,-193.88694047950298,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.1, 'e': 0.9992001066609779}",20,0,-164.39825662663037,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.1, 'e': 0.9987502603949663}",20,0,-118.17508166124053,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.9982005399352042}",30,0,-133.52933920476102,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.9975510002532796}",20,0,-82.79260510709047,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.9968017063026194}",20,0,-135.51802201902788,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.9959527330119943}",25,12,-13.522038309734699,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.1, 'e': 0.9950041652780257}",25,8,-123.10578165827833,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 2}",1
11,False,"{'a': 0.1, 'e': 0.9939560979566968}",30,0,-30.73428129679112,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.9928086358538663}",25,0,-137.02066660887658,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.9915618937147881}",25,0,-172.9310532956643,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.9902159962126371}",20,0,-93.69261959863046,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.1, 'e': 0.9887710779360422}",25,0,-132.96726674645333,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.9872272833756269}",20,0,-59.92021378264881,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.9855847669095608}",20,12,-15.588584715066254,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.1, 'e': 0.9838436927881214}",30,0,-181.51098483502153,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
19,False,"{'a': 0.1, 'e': 0.9820042351172703}",30,0,-190.17846227145236,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.1, 'e': 0.9800665778412416}",20,0,-106.88984997658066,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
21,False,"{'a': 0.1, 'e': 0.9780309147241483}",20,0,-82.1157126174394,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.1, 'e': 0.9758974493306055}",20,5,-19.852530141221173,"{0: 9, 1: 5, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.1, 'e': 0.9736663950053749}",25,0,-20.407576247761178,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.1, 'e': 0.9713379748520297}",25,4,-81.24590889310663,"{0: 11, 1: 2, 2: 8, 3: 0, 4: 0}",1
25,False,"{'a': 0.1, 'e': 0.9689124217106447}",20,0,-165.66461316863675,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
26,False,"{'a': 0.1, 'e': 0.9663899781345132}",20,0,-43.36571992010532,"{0: 12, 1: 6, 2: 1, 3: 1, 4: 0}",0
27,False,"{'a': 0.1, 'e': 0.9637708963658905}",20,0,-151.3192097599442,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
28,False,"{'a': 0.1, 'e': 0.9610554383107709}",30,0,-89.6495316538809,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
29,False,"{'a': 0.1, 'e': 0.9582438755126972}",20,0,-79.03126139480064,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",1
30,False,"{'a': 0.1, 'e': 0.955336489125606}",20,0,-39.93036675516603,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
31,False,"{'a': 0.1, 'e': 0.9523335698857134}",25,0,-94.95864529752134,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
32,False,"{'a': 0.1, 'e': 0.9492354180824408}",20,0,-13.82351215474538,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
33,False,"{'a': 0.1, 'e': 0.946042343528387}",20,0,-50.24469896194079,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
34,False,"{'a': 0.1, 'e': 0.9427546655283462}",20,0,-113.89033005350711,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
35,False,"{'a': 0.1, 'e': 0.9393727128473789}",30,0,-98.52831194762925,"{0: 20, 1: 4, 2: 2, 3: 4, 4: 0}",0
36,False,"{'a': 0.1, 'e': 0.9358968236779348}",30,0,-83.6291048898821,"{0: 19, 1: 5, 2: 4, 3: 2, 4: 0}",0
37,False,"{'a': 0.1, 'e': 0.9323273456060345}",20,0,-163.73477459730805,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
38,False,"{'a': 0.1, 'e': 0.9286646355765102}",25,0,-97.0429370458265,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
39,False,"{'a': 0.1, 'e': 0.9249090598573131}",20,0,-134.4616846474034,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
40,False,"{'a': 0.1, 'e': 0.9210609940028851}",30,0,-112.31795385437222,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
41,False,"{'a': 0.1, 'e': 0.9171208228166051}",20,0,-123.8078839660083,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
42,False,"{'a': 0.1, 'e': 0.9130889403123083}",25,0,-66.47161955258412,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.1, 'e': 0.9089657496748851}",25,0,-118.22958049562146,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.1, 'e': 0.9047516632199635}",35,0,-93.06114671721716,"{0: 27, 1: 3, 2: 3, 3: 0, 4: 2}",0
45,False,"{'a': 0.1, 'e': 0.9004471023526769}",35,0,-166.48103375226685,"{0: 18, 1: 3, 2: 11, 3: 3, 4: 0}",0
46,False,"{'a': 0.1, 'e': 0.8960524975255253}",30,0,-145.56753591270117,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
47,False,"{'a': 0.1, 'e': 0.8915682881953289}",35,0,-174.13201890508014,"{0: 19, 1: 6, 2: 6, 3: 3, 4: 1}",0
48,False,"{'a': 0.1, 'e': 0.8869949227792842}",20,0,-78.33436865150534,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.1, 'e': 0.8823328586101216}",20,8,-83.00455074825605,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 2}",1
50,False,"{'a': 0.1, 'e': 0.8775825618903728}",20,0,-101.03296628197451,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
51,False,"{'a': 0.1, 'e': 0.8727445076457513}",20,0,-181.12388818124893,"{0: 8, 1: 0, 2: 9, 3: 1, 4: 2}",0
52,False,"{'a': 0.1, 'e': 0.8678191796776499}",20,0,-39.409590105328554,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
53,False,"{'a': 0.1, 'e': 0.862807070514761}",25,0,-144.3035619317131,"{0: 15, 1: 3, 2: 2, 3: 4, 4: 1}",0
54,False,"{'a': 0.1, 'e': 0.8577086813638242}",20,0,-35.345617601031506,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
