trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",20,0,-73.69286124543888,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.1, 'e': 1.0}",20,0,-196.61014876092753,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.1, 'e': 1.0}",25,0,-87.98295226547869,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.1, 'e': 1.0}",20,2,-147.05955721199635,"{0: 8, 1: 1, 2: 7, 3: 0, 4: 2}",1
5,False,"{'a': 0.1, 'e': 1.0}",25,0,-37.83161466544397,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.1, 'e': 1.0}",25,0,-88.22660506711871,"{0: 12, 1: 8, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.1, 'e': 1.0}",30,0,-163.6737694148397,"{0: 13, 1: 7, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.1, 'e': 1.0}",20,0,-81.68946908704935,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.1, 'e': 1.0}",20,0,-140.47024390846698,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.1, 'e': 1.0}",25,0,-141.17956348767365,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.1, 'e': 1.0}",25,0,-128.5711949929543,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.1, 'e': 1.0}",25,0,-161.0597233277368,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.1, 'e': 1.0}",25,0,-106.76308440171655,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.1, 'e': 1.0}",25,0,-135.5703912041799,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.1, 'e': 1.0}",20,0,-150.9268312709936,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.1, 'e': 1.0}",20,0,-67.81637566567194,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
17,False,"{'a': 0.1, 'e': 1.0}",25,0,-77.71383828924566,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
18,False,"{'a': 0.1, 'e': 1.0}",25,0,-156.07584338242512,"{0: 13, 1: 6, 2: 2, 3: 2, 4: 2}",0
19,False,"{'a': 0.1, 'e': 1.0}",30,0,-105.53621459183877,"{0: 15, 1: 5, 2: 10, 3: 0, 4: 0}",0
20,False,"{'a': 0.1, 'e': 1.0}",20,0,-41.10218018429818,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-163.38275627491095,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-89.16322218988472,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-78.04843474736937,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-161.0639126249504,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-124.94089691037722,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",35,0,-222.81379695242154,"{0: 17, 1: 2, 2: 13, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-142.23760766400628,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-64.4487638800226,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-111.85307483373678,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-80.91135532493868,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
